Plot,Azimuth,Distance,Statues,Species,DBH,Height
1,9,8.38,1,red maple,15.7,10.06
1,11,12.26,1,red maple,18.8,17.68
1,78,2.1,1,red maple,13,7.62
1,86,12.68,1,red maple,21.8,11.28
1,92,10.2,1,red maple,20.8,16.15
1,95,11.46,1,eastern hemlock,18,15.24
1,95,6.72,1,yellow birch,31,14.02
1,113,6.84,1,yellow birch,37.8,13.72
1,120,7.11,1,eastern hemlock,19.8,8.23
1,145,10.45,1,paper birch,57.4,16.76
1,166,9.67,1,paper birch,20.6,17.68
1,169,7.8,1,paper birch,36.6,17.07
1,207,6.21,1,eastern hemlock,14.5,15.85
1,214,12.77,1,paper birch,12.7,12.8
1,218,7.78,1,paper birch,13.2,6.1
1,222,11.94,1,balsam fir,15,10.97
1,226,9.32,1,balsam fir,33.5,12.5
1,247,12.45,1,northern red oak,25.1,18.59
1,257,4.83,1,balsam fir,36.8,17.07
1,269,4,1,balsam fir,18.8,10.67
1,274,11.64,1,balsam fir,19.1,14.02
1,303,4.23,1,northern red oak,12.7,6.4
1,305,6.92,1,balsam fir,10.4,7.92
1,310,3.91,1,paper birch,13.7,14.63
1,327,6.92,1,northern red oak,23.1,22.86
1,333,5.45,1,paper birch,15.2,10.97
1,356,5.59,1,white spruce,13.5,14.02
1,359,11.92,1,eastern hemlock,29.2,14.94
2,19,2.88,1,yellow birch,40.9,18.29
2,22,9.83,1,red spruce,15.2,15.24
2,32,7.34,1,paper birch,16.5,14.94
2,35,3.7,1,white spruce,17.8,14.02
2,45,8.56,1,red maple,13.2,14.33
2,66,11.04,1,red maple,18.8,16.76
2,81,9.34,1,northern red oak,13.5,11.58
2,164,2.18,1,eastern white pine,22.4,13.41
2,204,1.43,1,paper birch,13.2,12.19
2,221,9.9,1,yellow birch,15,14.63
2,222,9.64,1,northern red oak,24.1,11.58
2,232,5.62,1,eastern white pine,25.9,20.12
2,237,7.73,1,red maple,34.8,20.73
2,244,7.98,1,red spruce,26.2,23.47
2,269,6.42,1,red spruce,13.5,10.67
2,290,11.25,1,paper birch,31.8,15.85
2,316,3.29,1,paper birch,19.8,10.67
2,319,8.97,1,northern red oak,21.6,22.86
2,325,0.12,1,white spruce,22.9,19.2
2,328,0.41,1,yellow birch,18.8,17.07
2,331,7.34,1,red maple,12.2,10.36
2,358,1.93,1,eastern hemlock,22.4,17.07
3,7,12.31,1,white spruce,19.6,14.02
